,,,,,,,,,,,,FY 2015 3-YEAR COHORT DEFAULT RATES,,,
1183,HOLY NAMES UNIVERSITY                                            ,3500 MOUNTAIN BOULEVARD                           ,OAKLAND             ,CA,CALIFORNIA                                                  ,94619,1699,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,18,444,4
1185,COLLEGE OF THE REDWOODS                                          ,7351 TOMPKINS HILL ROAD                           ,EUREKA              ,CA,CALIFORNIA                                                  ,95501,9300,5,Associate's Degree,1,Public,2015,41,252,16.2
1186,COLLEGE OF THE SEQUOIAS                                          ,915 SOUTH MOONEY BOULEVARD                        ,VISALIA             ,CA,CALIFORNIA                                                  ,93277,2234,5,Associate's Degree,1,Public,2015,32,178,17.9
1187,COLLEGE OF THE SISKIYOUS                                         ,800 COLLEGE AVENUE                                ,WEED                ,CA,CALIFORNIA                                                  ,96094,2899,5,Associate's Degree,1,Public,2015,59,294,20
1190,CONTRA COSTA COLLEGE                                             ,2600 MISSION BELL DRIVE                           ,SAN PABLO           ,CA,CALIFORNIA                                                  ,94806,3195,5,Associate's Degree,1,Public,2015,18,135,13.3
1191,DIABLO VALLEY COLLEGE                                            ,321 GOLF CLUB ROAD                                ,PLEASANT HILL       ,CA,CALIFORNIA                                                  ,94523,1544,5,Associate's Degree,1,Public,2015,26,239,10.8
1192,CUESTA COLLEGE                                                   ,HIGHWAY 1                                         ,SAN LUIS OBISPO     ,CA,CALIFORNIA                                                  ,93403,8106,5,Associate's Degree,1,Public,2015,41,408,10
1193,CYPRESS COLLEGE                                                  ,9200 VALLEY VIEW STREET                           ,CYPRESS             ,CA,CALIFORNIA                                                  ,90630,5897,6,Bachelor's Degree,1,Public,2015,32,336,9.5
1196,DOMINICAN UNIVERSITY OF CALIFORNIA                               ,50 ACACIA AVENUE                                  ,SAN RAFAEL          ,CA,CALIFORNIA                                                  ,94901,2298,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,15,613,2.4
1197,EL CAMINO COLLEGE                                                ,16007 CRENSHAW BOULEVARD                          ,TORRANCE            ,CA,CALIFORNIA                                                  ,90506,2,5,Associate's Degree,1,Public,2015,37,233,15.8
1199,FOOTHILL COLLEGE                                                 ,12345 EL MONTE ROAD                               ,LOS ALTOS HILLS     ,CA,CALIFORNIA                                                  ,94022,4597,6,Bachelor's Degree,1,Public,2015,74,520,14.2
1200,FULLER THEOLOGICAL SEMINARY                                      ,135 NORTH OAKLAND AVENUE                          ,PASADENA            ,CA,CALIFORNIA                                                  ,91182,2,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,14,405,3.4
1201,FULLERTON COLLEGE                                                ,321 EAST CHAPMAN AVENUE                           ,FULLERTON           ,CA,CALIFORNIA                                                  ,92832,2095,5,Associate's Degree,1,Public,2015,100,524,19
1202,GAVILAN COLLEGE                                                  ,5055 SANTA TERESA BOULEVARD                       ,GILROY              ,CA,CALIFORNIA                                                  ,95020,9599,5,Associate's Degree,1,Public,2015,14,105,13.3
1203,GLENDALE COMMUNITY COLLEGE                                       ,1500 NORTH VERDUGO ROAD                           ,GLENDALE            ,CA,CALIFORNIA                                                  ,91208,2894,5,Associate's Degree,1,Public,2015,42,408,10.2
1205,GOLDEN GATE UNIVERSITY                                           ,536 MISSION STREET                                ,SAN FRANCISCO       ,CA,CALIFORNIA                                                  ,94105,2967,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,26,791,3.2
1206,GOLDEN WEST COLLEGE                                              ,15744 GOLDEN WEST STREET                          ,HUNTINGTON BEACH    ,CA,CALIFORNIA                                                  ,92647,2748,5,Associate's Degree,1,Public,2015,30,270,11.1
1207,GRADUATE THEOLOGICAL UNION                                       ,2400 RIDGE ROAD                                   ,BERKELEY            ,CA,CALIFORNIA                                                  ,94709,1212,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,1,100,1
1208,GROSSMONT COLLEGE                                                ,8800 GROSSMONT COLLEGE DRIVE                      ,EL CAJON            ,CA,CALIFORNIA                                                  ,92020,1799,5,Associate's Degree,1,Public,2015,43,320,13.4
1209,HARTNELL COMMUNITY COLLEGE                                       ,411 CENTRAL AVENUE                                ,SALINAS             ,CA,CALIFORNIA                                                  ,93901,1697,5,Associate's Degree,1,Public,2015,44,178,24.7
1212,HUMPHREYS UNIVERSITY                                             ,6650 INGLEWOOD AVENUE                             ,STOCKTON            ,CA,CALIFORNIA                                                  ,95207,3896,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,35,406,8.6
1215,LA SIERRA UNIVERSITY                                             ,4500 RIVERWALK PARKWAY                            ,RIVERSIDE           ,CA,CALIFORNIA                                                  ,92515,3332,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,35,677,5.1
1216,UNIVERSITY OF LA VERNE                                           ,1950 3RD STREET                                   ,LA VERNE            ,CA,CALIFORNIA                                                  ,91750,4443,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,119,2513,4.7
1217,LASSEN COLLEGE                                                   ,478-200 HIGHWAY 139                               ,SUSANVILLE          ,CA,CALIFORNIA                                                  ,96130,3000,5,Associate's Degree,1,Public,2015,15,76,19.7
1218,LOMA LINDA UNIVERSITY                                            ,11139 ANDERSON STREET                             ,LOMA LINDA          ,CA,CALIFORNIA                                                  ,92350,1,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,17,1302,1.3
1219,LONG BEACH CITY COLLEGE                                          ,4901 EAST CARSON STREET                           ,LONG BEACH          ,CA,CALIFORNIA                                                  ,90808,1780,5,Associate's Degree,1,Public,2015,205,950,21.5
1220,MASTER'S UNIVERSITY AND SEMINARY (THE)                           ,21726 PLACERITA CANYON ROAD                       ,SANTA CLARITA       ,CA,CALIFORNIA                                                  ,91321,1200,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,14,357,3.9
1223,LOS ANGELES CITY COLLEGE                                         ,855 NORTH VERMONT AVENUE                          ,LOS ANGELES         ,CA,CALIFORNIA                                                  ,90029,3588,5,Associate's Degree,1,Public,2015,127,694,18.2
1224,LOS ANGELES HARBOR COLLEGE                                       ,1111 FIGUEROA PLACE                               ,WILMINGTON          ,CA,CALIFORNIA                                                  ,90744,2397,5,Associate's Degree,1,Public,2015,11,102,10.7
1226,LOS ANGELES PIERCE COLLEGE                                       ,6201 WINNETKA AVENUE                              ,WOODLAND HILLS      ,CA,CALIFORNIA                                                  ,91371,1,5,Associate's Degree,1,Public,2015,96,695,13.8
1227,LOS ANGELES TRADE-TECHNICAL COLLEGE                              ,400 WEST WASHINGTON BOULEVARD                     ,LOS ANGELES         ,CA,CALIFORNIA                                                  ,90015,4181,5,Associate's Degree,1,Public,2015,108,457,23.6
1228,LOS ANGELES VALLEY COLLEGE                                       ,5800 FULTON AVENUE                                ,VALLEY GLEN         ,CA,CALIFORNIA                                                  ,91401,4096,5,Associate's Degree,1,Public,2015,67,492,13.6
1229,SOUTHERN CALIFORNIA UNIVERSITY OF HEALTH SCIENCES                ,16200 EAST AMBER VALLEY DRIVE                     ,WHITTIER            ,CA,CALIFORNIA                                                  ,90604,4051,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,6,195,3
1230,MARSHALL B. KETCHUM UNIVERSITY                                   ,2575 YORBA LINDA BOULEVARD                        ,FULLERTON           ,CA,CALIFORNIA                                                  ,92831,1699,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,0,118,0
1232,AMERICAN RIVER COLLEGE                                           ,4700 COLLEGE OAK DRIVE                            ,SACRAMENTO          ,CA,CALIFORNIA                                                  ,95841,4286,5,Associate's Degree,1,Public,2015,243,1330,18.2
1233,SACRAMENTO CITY COLLEGE                                          ,3835 FREEPORT BOULEVARD                           ,SACRAMENTO          ,CA,CALIFORNIA                                                  ,95822,1386,5,Associate's Degree,1,Public,2015,189,924,20.4
1236,MENLO COLLEGE                                                    ,1000 EL CAMINO REAL                               ,ATHERTON            ,CA,CALIFORNIA                                                  ,94027,4301,6,Bachelor's Degree,2,Nonprofit,2015,10,192,5.2
1238,MILLS COLLEGE                                                    ,5000 MACARTHUR BOULEVARD                          ,OAKLAND             ,CA,CALIFORNIA                                                  ,94613,1301,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,14,540,2.5
1239,MIRACOSTA COLLEGE                                                ,ONE BARNARD DRIVE                                 ,OCEANSIDE           ,CA,CALIFORNIA                                                  ,92056,3899,6,Bachelor's Degree,1,Public,2015,28,189,14.8
1242,MONTEREY PENINSULA COLLEGE                                       ,980 FREMONT STREET                                ,MONTEREY            ,CA,CALIFORNIA                                                  ,93940,4799,5,Associate's Degree,1,Public,2015,29,190,15.2
1243,MOUNT SAINT MARY'S UNIVERSITY                                    ,12001 CHALON ROAD                                 ,LOS ANGELES         ,CA,CALIFORNIA                                                  ,90049,1599,8,Master's Degree or Doctor's Degree,2,Nonprofit,2015,47,1118,4.2
